# Perfil 45000
0.999874 -0.001017
0.999877 -0.001009
0.999879 -0.001002
0.999881 -0.000996
0.999883 -0.000989
0.999885 -0.000984
0.999886 -0.000978
0.999887 -0.000973
0.999889 -0.000968
0.999890 -0.000964
0.999918 -0.000846
0.999949 -0.000637
0.999950 -0.000633
0.999950 -0.000629
0.999951 -0.000626
0.999951 -0.000621
0.999952 -0.000617
0.999952 -0.000613
0.999953 -0.000608
0.999953 -0.000604
0.999954 -0.000599
0.999955 -0.000593
0.999955 -0.000588
0.999956 -0.000582
0.999956 -0.000576
0.999957 -0.000570
0.999958 -0.000564
0.999958 -0.000557
0.999959 -0.000550
0.999960 -0.000542
0.999961 -0.000534
0.999961 -0.000526
0.999962 -0.000517
0.999963 -0.000507
0.999964 -0.000497
0.999965 -0.000487
0.999966 -0.000476
0.999967 -0.000464
0.999968 -0.000451
0.999969 -0.000437
0.999970 -0.000423
0.999971 -0.000407
0.999973 -0.000390
0.999974 -0.000372
0.999976 -0.000353
0.999977 -0.000331
0.999979 -0.000308
0.999981 -0.000283
0.999983 -0.000255
0.999985 -0.000225
0.999987 -0.000191
0.999990 -0.000154
0.999993 -0.000112
0.999996 -0.000066
0.999999 -0.000013
